row,week_start,week_end,news_lag2w,cong_lag2w,news_t,cong_t
1,2015-01-19,2015-01-25,1,0,0,0
2,2015-01-26,2015-02-01,0,0,0,1
3,2015-02-02,2015-02-08,0,0,0,2
4,2015-02-09,2015-02-15,0,1,0,0
5,2015-02-16,2015-02-22,0,2,1,0
6,2015-02-23,2015-03-01,0,0,0,0
7,2015-03-02,2015-03-08,1,0,0,0
8,2015-03-09,2015-03-15,0,0,0,0
9,2015-03-16,2015-03-22,0,0,0,1
10,2015-03-23,2015-03-29,0,0,0,0
11,2015-03-30,2015-04-05,0,1,0,0
12,2015-04-06,2015-04-12,0,0,0,0
13,2015-04-13,2015-04-19,0,0,0,0
14,2015-04-20,2015-04-26,0,0,2,1
15,2015-04-27,2015-05-03,0,0,0,0
16,2015-05-04,2015-05-10,2,1,0,0
17,2015-05-11,2015-05-17,0,0,0,1
18,2015-05-18,2015-05-24,0,0,0,0
19,2015-05-25,2015-05-31,0,1,0,1
20,2015-06-01,2015-06-07,0,0,0,0
21,2015-06-08,2015-06-14,0,1,0,1
22,2015-06-15,2015-06-21,0,0,0,0
23,2015-06-22,2015-06-28,0,1,1,2
24,2015-06-29,2015-07-05,0,0,0,0
25,2015-07-06,2015-07-12,1,2,0,6
26,2015-07-13,2015-07-19,0,0,2,0
27,2015-07-20,2015-07-26,0,6,0,0
28,2015-07-27,2015-08-02,2,0,1,0
29,2015-08-03,2015-08-09,0,0,0,0
30,2015-08-10,2015-08-16,1,0,0,0
31,2015-08-17,2015-08-23,0,0,0,0
32,2015-08-24,2015-08-30,0,0,1,0
33,2015-08-31,2015-09-06,0,0,0,0
34,2015-09-07,2015-09-13,1,0,0,0
35,2015-09-14,2015-09-20,0,0,0,0
36,2015-09-21,2015-09-27,0,0,2,0
37,2015-09-28,2015-10-04,0,0,0,0
38,2015-10-05,2015-10-11,2,0,0,0
39,2015-10-12,2015-10-18,0,0,0,0
40,2015-10-19,2015-10-25,0,0,0,1
41,2015-10-26,2015-11-01,0,0,0,0
42,2015-11-02,2015-11-08,0,1,0,0
43,2015-11-09,2015-11-15,0,0,0,0
44,2015-11-16,2015-11-22,0,0,0,1
45,2015-11-23,2015-11-29,0,0,0,0
46,2015-11-30,2015-12-06,0,1,0,0
47,2015-12-07,2015-12-13,0,0,0,0
48,2015-12-14,2015-12-20,0,0,0,0
49,2015-12-21,2015-12-27,0,0,0,0
50,2015-12-28,2016-01-03,0,0,0,0
51,2016-01-04,2016-01-10,0,0,0,0
52,2016-01-11,2016-01-17,0,0,0,0
53,2016-01-18,2016-01-24,0,0,0,0
54,2016-01-25,2016-01-31,0,0,0,0
55,2016-02-01,2016-02-07,0,0,0,0
56,2016-02-08,2016-02-14,0,0,0,0
57,2016-02-15,2016-02-21,0,0,0,0
58,2016-02-22,2016-02-28,0,0,0,0
59,2016-02-29,2016-03-06,0,0,0,0
60,2016-03-07,2016-03-13,0,0,0,0
61,2016-03-14,2016-03-20,0,0,0,0
62,2016-03-21,2016-03-27,0,0,0,0
63,2016-03-28,2016-04-03,0,0,0,0
64,2016-04-04,2016-04-10,0,0,0,0
65,2016-04-11,2016-04-17,0,0,1,0
66,2016-04-18,2016-04-24,0,0,0,0
67,2016-04-25,2016-05-01,1,0,0,1
68,2016-05-02,2016-05-08,0,0,0,0
69,2016-05-09,2016-05-15,0,1,0,0
70,2016-05-16,2016-05-22,0,0,0,0
71,2016-05-23,2016-05-29,0,0,1,0
72,2016-05-30,2016-06-05,0,0,1,0
73,2016-06-06,2016-06-12,1,0,0,0
74,2016-06-13,2016-06-19,1,0,0,0
75,2016-06-20,2016-06-26,0,0,0,0
76,2016-06-27,2016-07-03,0,0,0,0
77,2016-07-04,2016-07-10,0,0,0,0
78,2016-07-11,2016-07-17,0,0,0,1
79,2016-07-18,2016-07-24,0,0,0,0
80,2016-07-25,2016-07-31,0,1,0,0
81,2016-08-01,2016-08-07,0,0,0,0
82,2016-08-08,2016-08-14,0,0,2,0
83,2016-08-15,2016-08-21,0,0,0,0
84,2016-08-22,2016-08-28,2,0,0,0
85,2016-08-29,2016-09-04,0,0,0,0
